0,0,0,0,0,0,0,0
-16,-14,1028,-1706,-14997,-61,0,0
-13,-16,1022,-1750,-14988,-87,0,0
-15,-15,1018,-1653,-14700,-192,0,0
-14,-16,1025,-1583,-15382,-87,0,0
-11,-15,1029,-1618,-14472,-105,0,0
-13,-18,1024,-1627,-14997,-122,0,0
-8,-17,1027,-1618,-14787,-26,0,0
-13,-16,1028,-1592,-15155,-26,0,0
-13,-19,1028,-1566,-14918,-96,0,0
-12,-19,1029,-1706,-14945,-148,0,0
-16,-19,1029,-1811,-15330,-87,0,0
-16,-14,1028,-1671,-15023,-96,0,0
-14,-16,1024,-1793,-15111,-140,0,0
-13,-12,1025,-1645,-15461,-157,0,0
-11,-18,1025,-1741,-15496,-166,0,0
-15,-16,1025,-1697,-15067,-148,0,0
-15,-16,1024,-1636,-15557,-96,0,0
-10,-14,1025,-1697,-15496,-70,0,0
-14,-16,1024,-1583,-15207,-157,0,0
-13,-14,1029,-1697,-15198,-105,0,0
-13,-14,1029,-1697,-15198,-105,0,0
-13,-15,1022,-1618,-15723,-52,0,0
-15,-17,1025,-1793,-15312,-122,0,0
-14,-15,1024,-1618,-15400,-70,0,0
-10,-16,1025,-1697,-14778,-183,0,0
-14,-14,1024,-1540,-15470,-157,0,0
-15,-14,1021,-1531,-15382,-131,0,0
-13,-16,1026,-1522,-15146,-122,0,0
-15,-17,1028,-1505,-15496,-148,0,0
-14,-16,1027,-1706,-15216,-148,0,0
-16,-16,1028,-1627,-15470,-87,0,0
-15,-17,1026,-1645,-15811,-43,0,0
-13,-16,1029,-1592,-15251,-166,0,0
0,0,0,0,0,0,0,0
-18,-16,1020,-1610,-16082,-140,0,0
-13,-16,1026,-1417,-16546,-192,0,0
-13,-16,1026,-1417,-16546,-192,0,0
-18,-19,1026,-1846,-16668,-122,0,0
-18,-19,1026,-1846,-16668,-122,0,0
-14,-17,1026,-1592,-16782,-227,0,0
-14,-17,1026,-1592,-16782,-227,0,0
-14,-17,1026,-1592,-16782,-227,0,0
-15,-17,1027,-1732,-16747,-113,0,0
-15,-17,1027,-1732,-16747,-113,0,0
-17,-16,1026,-1601,-17167,-201,0,0
-17,-16,1026,-1601,-17167,-201,0,0
-13,-14,1028,-1697,-17158,-271,0,0
-13,-14,1028,-1697,-17158,-271,0,0
-12,-16,1031,-1618,-16660,-236,0,0
-12,-16,1031,-1618,-16660,-236,0,0
-15,-18,1031,-1575,-17430,-218,0,0
-15,-18,1031,-1575,-17430,-218,0,0
-17,-17,1026,-1793,-17815,-201,0,0
-17,-17,1026,-1793,-17815,-201,0,0
-15,-15,1024,-1662,-16275,-166,0,0
-15,-15,1024,-1662,-16275,-166,0,0
-12,-19,1024,-1627,-16826,-210,0,0
-12,-19,1024,-1627,-16826,-210,0,0
0,0,0,0,0,0,0,0
-15,-16,1028,-1575,-17123,-148,0,0
-13,-16,1026,-1618,-17710,-105,0,0
-13,-16,1026,-1618,-17710,-105,0,0
-13,-17,1027,-1715,-17683,-122,0,0
-13,-17,1027,-1715,-17683,-122,0,0
-13,-17,1027,-1715,-17683,-122,0,0
-13,-17,1024,-1741,-17193,-183,0,0
-13,-17,1024,-1741,-17193,-183,0,0
-13,-16,1025,-1557,-17158,-245,0,0
-13,-16,1025,-1557,-17158,-245,0,0
-22,-18,1025,-1767,-17622,-166,0,0
-22,-18,1025,-1767,-17622,-166,0,0
-22,-18,1025,-1767,-17622,-166,0,0
-11,-19,1022,-1636,-16625,-201,0,0
-11,-19,1022,-1636,-16625,-201,0,0
-11,-19,1022,-1636,-16625,-201,0,0
-16,-15,1032,-1837,-17447,-175,0,0
-16,-15,1032,-1837,-17447,-175,0,0
-16,-15,1032,-1837,-17447,-175,0,0
-14,-16,1024,-1741,-16598,-332,0,0
-14,-16,1024,-1741,-16598,-332,0,0
-11,-16,1027,-1750,-17053,-210,0,0
-11,-16,1027,-1750,-17053,-210,0,0
0,0,0,0,0,0,0,0
-13,-18,1029,-1653,-17263,-253,0,0
-13,-18,1029,-1653,-17263,-253,0,0
-13,-18,1029,-1653,-17263,-253,0,0
-14,-17,1026,-1653,-17237,-245,0,0
-14,-15,1026,-1776,-17290,-245,0,0
-14,-15,1026,-1776,-17290,-245,0,0
-14,-15,1026,-1776,-17290,-245,0,0
-14,-15,1026,-1776,-17290,-245,0,0
-12,-19,1027,-1741,-17106,-175,0,0
-12,-19,1027,-1741,-17106,-175,0,0
-13,-21,1026,-1478,-17045,-271,0,0
-13,-21,1026,-1478,-17045,-271,0,0
-13,-21,1026,-1478,-17045,-271,0,0
-13,-17,1024,-1706,-17132,-166,0,0
-13,-17,1024,-1706,-17132,-166,0,0
-13,-17,1024,-1706,-17132,-166,0,0
-11,-10,1020,-1548,-15951,-271,0,0
-11,-10,1020,-1548,-15951,-271,0,0
-13,-18,1025,-1653,-17263,-175,0,0
-13,-18,1025,-1653,-17263,-175,0,0
-10,-13,1029,-1697,-16738,-236,89611,2696
-10,-13,1029,-1697,-16738,-236,89611,2696
-17,-23,1032,-1601,-16738,-210,89628,2697
-17,-23,1032,-1601,-16738,-210,89628,2697
-17,-23,1032,-1601,-16738,-210,89624,2698
-17,-23,1032,-1601,-16738,-210,89624,2698
-17,-23,1032,-1601,-16738,-210,89624,2698
-15,-16,1026,-1723,-16660,-175,89614,2698
